Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-06-19,28.242158889770508,28.789265823364257,28.19792112350464,1.0,1.0,-0.010009140367522873,-0.010009140367522873,-0.010009140367522873,0.0,0.0,9578.39896713093,11673.880408798783,-0.042160103286907,-0.044816585676943466
2015-06-22,28.46746826171875,28.73427610397339,28.22743719100952,1.0,1.0,0.00797776730977362,0.00797776730977362,0.00797776730977362,0.0,0.0,9654.813205290877,11767.011910302303,-0.03451867947091236,-0.03719635465931925
2015-06-23,28.338088989257812,28.705387306213378,28.24771547317505,1.0,1.0,-0.00454481133592477,-0.00454481133592477,-0.00454481133592477,0.0,0.0,9610.933900789234,11713.5330611824,-0.03890660992107664,-0.04157211558093321
2015-06-24,28.579011917114258,28.661552047729494,28.274253368377686,1.0,1.0,0.008501735171619007,0.008501735171619007,0.008501735171619007,0.0,0.0,9692.64351556568,11813.118417192576,-0.030735648443432018,-0.033423815526507195
2015-06-25,28.44293212890625,28.613812732696534,28.296177635192873,1.0,1.0,-0.004761528796120462,-0.004761528796120462,-0.004761528796120462,0.0,0.0,9646.491714355783,11756.869913677132,-0.03535082856442173,-0.03802619586252198
2015-06-26,28.27562713623047,28.57443904876709,28.316384506225585,1.0,1.0,-0.005882128885922766,-0.005882128885922766,-0.005882128885922766,0.0,0.0,9589.749806794956,11687.714489549857,-0.0410250193205044,-0.04368464976333997
2015-06-29,27.780378341674805,28.5074031829834,28.329625263214112,1.0,1.0,-0.01751504191824227,-0.01751504191824227,-0.01751504191824227,0.0,0.0,9421.784936943488,11483.003680336942,-0.057821506305651194,-0.06043455320979374
2015-06-30,27.98115348815918,28.456875038146972,28.342985382080077,1.0,1.0,0.0072272286581203105,0.0072272286581203105,0.0072272286581203105,0.0,0.0,9489.878331050411,11565.993973616774,-0.05101216689495891,-0.053644098886571956
2015-07-01,28.242158889770508,28.417612648010255,28.361199340820313,1.0,1.0,0.009327899999611367,0.009327899999611367,0.009327899999611367,0.0,0.0,9578.398967130928,11673.880408798781,-0.042160103286907225,-0.04481658567694358
2015-07-02,28.20646095275879,28.385042190551758,28.377301292419432,1.0,1.0,-0.0012639946241733702,-0.0012639946241733702,-0.0012639946241733702,0.0,0.0,9566.291922328288,11659.124686718817,-0.04337080776717117,-0.04602393237774749
